number_of_bedrooms,n_listings,median_gross_revenue_proxy_90,gross_revenue_proxy_90_ci_low,gross_revenue_proxy_90_ci_high,median_annual_gross_base,median_adr,median_occupancy_proxy,q25_gross_revenue_proxy_90,q75_gross_revenue_proxy_90,strict_sample_share
4,38,27070.083473850627,22120.25855826315,34188.067835287366,69987.4449813513,950.0,0.3277777777777778,17105.073948593854,38522.032205465,1.0
3,241,16641.22409180203,15509.7981200511,17844.809176136216,43024.49812067983,662.0,0.3,10928.35091602648,23918.4117973268,1.0
2,201,12332.485501333864,11174.716765111683,13368.813185525683,31884.6135565736,456.0,0.3111111111111111,8129.0242199977365,17754.045529920884,1.0
1,98,9945.92383169254,8492.04730518529,10398.205853267467,25714.357239855086,427.0,0.24444444444444444,6504.588519637209,12698.265290351308,1.0

