listing_id,link_url,listing_title,suburb_clean,bedrooms,usable_area,sale_price,price_per_sqm,monthly_condo_fee_used,yearly_iptu_used,n_listings,median_adr,median_occupancy_proxy,median_gross_revenue_proxy_90,annual_gross_low,annual_gross_base,annual_gross_high,annual_noi_low,annual_noi_base,annual_noi_high,total_investment,net_yield_low,net_yield_base,net_yield_high,payback_years_base,ppsqm_pct,is_presale_or_construction,advertiser_name
2750112194,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-52m2-venda-RS458000-id-2750112194/,Apartamento com 02 dormitórios em empreendimento com área de lazer completa em Itapema,Morretes,2,52,458000.0,8807.692307692309,350.0,850.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,8163.348546305788,15005.975472071292,23264.31831351241,590900.0,0.01381511008005718,0.02539511841609628,0.03937099054579863,39.37764666480809,0.13773035887487875,False,José Junior - Corretor de Imóveis
2614369252,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-55m2-venda-RS460000-id-2614369252/,APARTAMENTO A VENDA EM ITAPEMA | 2 DORMITORIOS,Morretes,2,55,460000.0,8363.636363636364,350.0,850.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,8163.348546305788,15005.975472071292,23264.31831351241,593000.0,0.01376618641872814,0.025305186293543492,0.03923156545280339,39.51759091594381,0.1008729388942774,False,Eraci Eponina Jaques de Oliveira
2769968613,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-55m2-venda-RS475000-id-2769968613/,"Apartamento à venda com ótima localização, próximo ao supermercado Koch em Morretes, Itapema, SC",Morretes,2,55,475000.0,8636.363636363636,350.0,850.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,8163.348546305788,15005.975472071292,23264.31831351241,608750.0,0.013410018145882198,0.024650473054737235,0.03821653932404503,40.567172799461716,0.12997090203685743,False,Ruviaro Imóveis
2748077316,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-60m2-venda-RS525500-id-2748077316/,"Apartamento para Venda em Itapema, Morretes, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga",Morretes,2,60,525500.0,8758.333333333334,250.0,750.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,9463.348546305788,16305.975472071292,24564.31831351241,661775.0,0.014299948692993522,0.024639757428236625,0.03711883693628863,40.584815127036194,0.13482056256062075,False,WA 10 Imóveis
2727530262,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-60m2-venda-RS525000-id-2727530262/,"APTO COM 02 DORMS EM ITAPEMA, LAZER COMPLETO, OPORTUNIDADE!!!",Morretes,2,60,525000.0,8750.0,300.0,500.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,9113.348546305788,15955.975472071292,24214.31831351241,661250.0,0.013782001582314992,0.024130019617499117,0.03661900690134202,41.44215445539046,0.13336566440349176,False,Nei Costa
2728011539,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-60m2-venda-RS525000-id-2728011539/,"APTO COM 02 DORMS EM ITAPEMA, LAZER COMPLETO, OPORTUNIDADE!!!",Morretes,2,60,525000.0,8750.0,300.0,500.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,9113.348546305788,15955.975472071292,24214.31831351241,661250.0,0.013782001582314992,0.024130019617499117,0.03661900690134202,41.44215445539046,0.13336566440349176,False,Nei Costa
2767581974,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-50m2-venda-RS495000-id-2767581974/,APARTAMENTO A VENDA EM ITAPEMA,Morretes,2,50,495000.0,9900.0,350.0,850.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,8163.348546305788,15005.975472071292,23264.31831351241,629750.0,0.012962840089409747,0.023828464425678906,0.03694214896945202,41.966615310818916,0.23569350145489815,False,HRM Imóveis
2692570680,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-60m2-venda-RS530000-id-2692570680/,Exclusividade - Apartamento 02 Dormitórios mobiliado em Morretes - Itapema,Morretes,2,60,530000.0,8833.333333333334,350.0,850.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,8163.348546305788,15005.975472071292,23264.31831351241,666500.0,0.012248084840668848,0.022514591856070954,0.03490520377121142,44.41563970569401,0.14451988360814744,False,Imobiliária Morada do Sol
2760266628,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-68m2-venda-RS600000-id-2760266628/,Imóvel para venda possui 68 metros quadrados com 2 quartos em Morretes - Itapema - SC,Morretes,2,68,600000.0,8823.529411764706,250.0,560.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,9653.348546305788,16495.97547207129,24754.31831351241,740000.0,0.01304506560311593,0.022291858746042285,0.0334517815047465,44.85942654636375,0.1396702230843841,False,Galaxy Investimentos Imobiliários
2663775496,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-62m2-venda-RS550000-id-2663775496/,"Apartamento, 2 Dorm e 01 Vaga, no Morretes!",Morretes,2,62,550000.0,8870.967741935483,350.0,850.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,8163.348546305788,15005.975472071292,23264.31831351241,687500.0,0.011873961521899328,0.02182687341392188,0.033839008456018047,45.81508221705121,0.15615906886517944,False,CONFIARI INVESTIMENTOS IMOBILIÁRIOS
2748586010,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-60m2-venda-RS550000-id-2748586010/,Oportunidade! Apartamento 02 dormitórios em Itapema próximo ao Komprão atacadista,Morretes,2,60,550000.0,9166.666666666666,350.0,850.0,38,449.25,0.27222222222222225,11578.130571871769,19721.41574075491,29934.291749360138,42260.17658733196,8163.348546305788,15005.975472071292,23264.31831351241,687500.0,0.011873961521899328,0.02182687341392188,0.033839008456018047,45.81508221705121,0.16779825412221144,False,José Junior - Corretor de Imóveis
