feature,coefficient_log,robust_se_hc3,t_stat,approx_impact_pct,abs_t
intercept,9.009665736435945,0.20721416461751369,43.47997036335059,818078.5944879164,43.47997036335059
amenity_beach,0.2099240913909666,0.06908710962041005,3.03854210350334,23.35844167254255,3.03854210350334
is_superhost,0.22311507491301252,0.07567268154443901,2.9484230023220137,24.99644050053145,2.9484230023220137
number_of_guests,0.14880374959231876,0.06161626005710533,2.415007815378748,16.04452290115155,2.415007815378748
number_of_bathrooms,0.10677256897919823,0.04924833210214239,2.1680443666142644,11.268116748675162,2.1680443666142644
tipo_outros,-1.1358039790307866,0.526174745261945,-2.15860603204236,-67.8836191458244,2.15860603204236
host_reviews_log,0.1463918139302927,0.06908260111960371,2.1190836991913846,15.764968247427081,2.1190836991913846
bairro_Outros bairros,-0.2989723129556441,0.15920305108370636,-1.877930799193348,-25.842005869249583,1.877930799193348
amenity_washer,0.27166192968876723,0.14964517155089793,1.8153738398192718,31.214332961539483,1.8153738398192718
cleaning_fee_log,-0.04666600291368983,0.026270667088586223,-1.776353937124221,-4.559388677666487,1.776353937124221
picture_count,0.056717286698256764,0.03442687234206374,1.647471374533142,5.835655661943817,1.647471374533142
bairro_Morretes,-0.21845332596759381,0.13391334307294964,-1.6313036546969841,-19.623900666416326,1.6313036546969841
is_professional,0.20378359140670255,0.13777536555805847,1.4791003499158073,22.603280071120068,1.4791003499158073
is_guest_favorite,0.081028657211272,0.07211302705164407,1.1236341133377048,8.440197205790678,1.1236341133377048
amenity_pool,-0.11959103788191472,0.13910999849898079,-0.8596868605587032,-11.271677224362996,0.8596868605587032
number_of_bedrooms,0.155675308615428,0.20860175244541473,0.7462799654866941,16.84467568964523,0.7462799654866941
bedrooms_squared,-0.13267186190846708,0.19399668600189446,-0.6838872593275717,-12.424758730886488,0.6838872593275717
amenity_bbq,-0.06578907604518575,0.09868779802342122,-0.6666384027493679,-6.367166245907385,0.6666384027493679
number_of_beds,0.025270874460136997,0.04651110291119519,0.5433299336802937,2.5592889822777076,0.5433299336802937
reviews_log,0.015446729702209921,0.041610481981065726,0.3712220807545258,1.55666470796203,0.3712220807545258
host_experience_years,0.008534944972272362,0.03901771398186758,0.21874538770361443,0.8571471458342472,0.21874538770361443
tipo_casa,-0.04512801438045899,0.21492347027953831,-0.2099724814686997,-4.412489175930034,0.2099724814686997
amenity_balcony,-0.016728320832203658,0.08094953374270057,-0.20665123143729155,-1.6589179421032108,0.20665123143729155
can_instant_book,0.00968885885293097,0.08307171149432617,0.1166324694489137,0.9735947802393063,0.1166324694489137
amenity_elevator,0.006838977515240263,0.08295864283458831,0.08243839679099545,0.6862416724910281,0.08243839679099545
bairro_Meia Praia,-0.0024393625499492533,0.09126638077281107,-0.026727942198360485,-0.2436389722883181,0.026727942198360485

